GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Database Connection Pools,edu.iu.jdbc.pool,IuPooledConnection.new ThreadFactory() {...},0,26,0,0,0,4,0,2,0,2
IU Database Connection Pools,edu.iu.jdbc.pool,IuCommonDataSource.new Object() {...},0,9,0,0,0,2,0,1,0,1
IU Database Connection Pools,edu.iu.jdbc.pool,IuPooledConnection,0,816,2,48,0,181,2,69,0,46
IU Database Connection Pools,edu.iu.jdbc.pool,IuPooledConnection.ConnectionHandler,0,236,0,18,0,44,0,15,0,6
IU Database Connection Pools,edu.iu.jdbc.pool,IuPooledConnection.StatementKey,0,47,0,6,0,9,0,6,0,3
IU Database Connection Pools,edu.iu.jdbc.pool,IuCommonDataSource,0,837,0,62,0,199,0,91,0,60
IU Database Connection Pools,edu.iu.jdbc.pool,IuStatementHandler,0,91,0,6,0,22,0,8,0,5
