GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Java Utilities API Reference/iu-java-base,edu.iu,IuCacheMap.CacheCollection.new Object() {...},0,6,0,0,0,1,0,1,0,1
IU Java Utilities API Reference/iu-java-base,edu.iu,IuParallelWorkloadController.CloseTask,0,42,0,2,0,11,0,5,0,4
IU Java Utilities API Reference/iu-java-base,edu.iu,IuCacheMap.CacheEntrySet,0,48,0,6,0,8,0,7,0,4
IU Java Utilities API Reference/iu-java-base,edu.iu,IuIterable.IuIterator,0,81,0,6,0,19,0,9,0,6
IU Java Utilities API Reference/iu-java-base,edu.iu,IuVisitor.ElementSplitter,0,77,1,9,0,21,1,10,0,6
IU Java Utilities API Reference/iu-java-base,iu,ParallelTaskController,0,329,0,40,0,81,0,38,0,18
IU Java Utilities API Reference/iu-java-test,edu.iu.test,VaultProperties,0,227,0,16,0,46,0,16,0,8
IU Java Utilities API Reference/iu-java-test,edu.iu.test,IuTest,0,96,0,6,0,25,0,9,0,6
IU Java Utilities API Reference/iu-java-test,edu.iu.test,IuTestLogger,0,342,0,32,0,86,0,30,0,14
IU Java Utilities API Reference/iu-java-test,edu.iu.test,IuTestLogger.IuTestLogHandler,0,185,0,24,0,45,0,18,0,6
IU Java Utilities API Reference/iu-java-test,edu.iu.test,IuTestSessionListener,0,7,0,0,0,6,0,3,0,3
IU Java Utilities API Reference/iu-java-test,edu.iu.test,IuTestLogger.LogRecordMatcher,0,147,0,30,0,37,0,19,0,4
IU Java Utilities API Reference/iu-java-test,edu.iu.test,IuTestExtension,6,23,2,2,2,14,2,4,0,4
IU Java Utilities API Reference/iu-java-jdbc-pool,edu.iu.jdbc.pool,IuPooledConnection.new ThreadFactory() {...},0,26,0,0,0,4,0,2,0,2
IU Java Utilities API Reference/iu-java-jdbc-pool,edu.iu.jdbc.pool,IuCommonDataSource.new Object() {...},0,9,0,0,0,2,0,1,0,1
IU Java Utilities API Reference/iu-java-jdbc-pool,edu.iu.jdbc.pool,IuPooledConnection,0,816,2,48,0,181,2,69,0,46
IU Java Utilities API Reference/iu-java-jdbc-pool,edu.iu.jdbc.pool,IuPooledConnection.ConnectionHandler,0,236,0,18,0,44,0,15,0,6
IU Java Utilities API Reference/iu-java-jdbc-pool,edu.iu.jdbc.pool,IuPooledConnection.StatementKey,0,47,0,6,0,9,0,6,0,3
IU Java Utilities API Reference/iu-java-jdbc-pool,edu.iu.jdbc.pool,IuCommonDataSource,0,837,0,62,0,199,0,91,0,60
IU Java Utilities API Reference/iu-java-jdbc-pool,edu.iu.jdbc.pool,IuStatementHandler,0,91,0,6,0,22,0,8,0,5
IU Java Utilities API Reference/iu-java-type-api,edu.iu.type.spi,TypeImplementation,0,9,0,0,0,2,0,1,0,1
IU Java Utilities API Reference/iu-java-type-api,edu.iu.type,IuParameterizedElement,0,6,0,0,0,1,0,1,0,1
IU Java Utilities API Reference/iu-java-type-api,edu.iu.type,IuProperty,0,167,1,49,0,36,1,32,0,8
IU Java Utilities API Reference/iu-java-type-api,edu.iu.type,IuExecutableKey,0,320,0,38,0,72,0,29,0,10
IU Java Utilities API Reference/iu-java-type-api,edu.iu.type,IuType,0,404,0,66,0,87,0,53,0,20
IU Java Utilities API Reference/iu-java-type-api,edu.iu.type,IuTypeKey,0,477,0,56,0,95,0,42,0,14
