GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Logging Configuration API,edu.iu.logging,IuLogEvent,0,2,0,0,0,1,0,1,0,1
IU Logging Configuration API,edu.iu.logging,IuLogContext,0,10,0,0,0,3,0,2,0,2
IU Logging Configuration API,iu.logging.boot,IuLoggingBootstrap,0,252,0,10,0,54,0,21,0,16
IU Logging Configuration API,iu.logging.boot,IuLogManager,0,123,0,22,0,42,0,23,0,12
