GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Authenticated Session Handler,iu.auth.session,SessionToken,0,17,0,0,0,6,0,1,0,1
IU Authenticated Session Handler,iu.auth.session,Session,0,221,0,8,0,44,0,14,0,10
IU Authenticated Session Handler,iu.auth.session,SessionHandler,0,207,0,16,0,48,0,15,0,7
IU Authenticated Session Handler,iu.auth.session,SessionJwt,0,15,0,0,0,4,0,2,0,2
IU Authenticated Session Handler,iu.auth.session,SessionJwtBuilder,0,20,0,0,0,7,0,4,0,4
IU Authenticated Session Handler,iu.auth.session,SessionDetail,0,139,0,24,0,28,0,15,0,3
IU Authenticated Session Handler,iu.auth.session,SessionHandler.PurgeTask,0,23,0,4,0,8,0,4,0,2
