GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Redis Utilities,iu.redis.spi,RedisSpi,0,15,0,0,0,5,0,4,0,4
IU Redis Utilities,iu.redis.lettuce,LettuceConnection,0,180,0,12,0,38,0,15,0,9
