GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Database Connection Pools,edu.iu.jdbc.pool,IuConnectionPoolDataSource,0,9,0,0,0,3,0,2,0,2
IU Database Connection Pools,edu.iu.jdbc.pool,IuPooledConnection.new ThreadFactory() {...},0,26,0,0,0,4,0,2,0,2
IU Database Connection Pools,edu.iu.jdbc.pool,IuCommonDataSource.new Object() {...},0,9,0,0,0,2,0,1,0,1
IU Database Connection Pools,edu.iu.jdbc.pool,IuPooledConnection,0,740,1,43,0,162,1,64,0,43
IU Database Connection Pools,edu.iu.jdbc.pool,IuPooledConnection.ConnectionHandler,0,105,0,8,0,24,0,7,0,3
IU Database Connection Pools,edu.iu.jdbc.pool,IuPooledConnection.StatementKey,0,47,0,6,0,9,0,6,0,3
IU Database Connection Pools,edu.iu.jdbc.pool,IuCommonDataSource,0,732,0,58,0,183,0,84,0,55
