GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Base Utilities Module,edu.iu,IuAsynchronousPipe,0,363,0,38,0,88,0,39,0,20
IU Base Utilities Module,edu.iu,IuCachedValue.Ref,0,12,0,2,0,3,0,2,0,1
IU Base Utilities Module,edu.iu,IuCachedValue.new TimerTask() {...},0,14,0,2,0,4,0,3,0,2
IU Base Utilities Module,edu.iu,IuEnumerableQueue,0,185,0,14,0,53,0,29,0,22
IU Base Utilities Module,edu.iu,IuIterable.new Iterable() {...},0,19,0,0,0,3,0,3,0,3
IU Base Utilities Module,edu.iu,IuUtilityTaskController.new Runnable() {...},0,72,0,0,0,15,0,2,0,2
IU Base Utilities Module,edu.iu,IuCachedValue,0,203,0,28,0,57,0,24,0,10
IU Base Utilities Module,edu.iu,IuIterable.new Iterator() {...},0,70,0,8,0,13,0,7,0,3
IU Base Utilities Module,edu.iu,IuUtilityTaskController.new ThreadFactory() {...},0,26,0,0,0,4,0,2,0,2
IU Base Utilities Module,edu.iu,IuIterable.new Iterator() {...},0,45,0,4,0,6,0,5,0,3
IU Base Utilities Module,edu.iu,IuAsynchronousSubject.SourceSplit,0,134,0,22,0,36,0,17,0,6
IU Base Utilities Module,edu.iu,IuUtilityTaskController.new TimerTask() {...},0,19,0,0,0,5,0,2,0,2
IU Base Utilities Module,edu.iu,IuCacheMap,0,173,0,12,0,41,0,24,0,18
IU Base Utilities Module,edu.iu,IuParallelWorkloadController.new Runnable() {...},0,182,0,6,0,32,0,10,0,7
IU Base Utilities Module,edu.iu,IuNotFoundException,0,16,0,0,0,8,0,4,0,4
IU Base Utilities Module,edu.iu,IuCacheMap.CacheEntry,0,81,0,8,0,18,0,10,0,6
IU Base Utilities Module,edu.iu,IuIterable.new Iterator() {...},0,55,0,6,0,12,0,6,0,3
IU Base Utilities Module,edu.iu,IuIterable.new Iterator() {...},0,25,0,0,0,4,0,3,0,3
IU Base Utilities Module,edu.iu,IuCacheMap.CacheSpliterator,0,72,0,8,0,20,0,10,0,6
IU Base Utilities Module,edu.iu,IuText,0,72,0,16,0,25,0,17,0,9
IU Base Utilities Module,edu.iu,IuCacheMap.CacheSpliterator.new Object() {...},0,6,0,0,0,1,0,1,0,1
IU Base Utilities Module,edu.iu,IuParallelWorkloadController,0,726,0,60,0,158,0,57,0,27
IU Base Utilities Module,edu.iu,IuAsynchronousSubject.Subscriber,0,542,0,98,0,147,0,74,0,25
IU Base Utilities Module,edu.iu,IuDigest,0,50,0,0,0,5,0,10,0,10
IU Base Utilities Module,edu.iu,IuAuthorizationFailedException,0,16,0,0,0,8,0,4,0,4
IU Base Utilities Module,edu.iu,IuCacheMap.CacheKeySet,0,24,0,0,0,3,0,4,0,4
IU Base Utilities Module,edu.iu,IuWebUtils,0,2201,0,529,0,504,0,337,0,53
IU Base Utilities Module,edu.iu,IuCacheMap.CacheValues,0,27,0,0,0,3,0,4,0,4
IU Base Utilities Module,edu.iu,IuRuntimeEnvironment,0,64,0,6,0,11,0,11,0,8
IU Base Utilities Module,edu.iu,IuFixedLimitOutputBuffer,0,245,0,22,0,57,0,19,0,8
IU Base Utilities Module,edu.iu,IuStream,0,65,0,4,0,17,0,7,0,5
IU Base Utilities Module,edu.iu,IuIterable,0,239,0,43,0,64,0,41,0,19
IU Base Utilities Module,edu.iu,IuCacheMap.CacheCollection.new Object() {...},0,6,0,0,0,1,0,1,0,1
IU Base Utilities Module,edu.iu,IuParallelWorkloadController.CloseTask,0,42,0,2,0,11,0,5,0,4
IU Base Utilities Module,edu.iu,IuCacheMap.CacheEntrySet,0,48,0,6,0,8,0,7,0,4
IU Base Utilities Module,edu.iu,IuIterable.IuIterator,0,81,0,6,0,19,0,9,0,6
IU Base Utilities Module,edu.iu,IuVisitor.ElementSplitter,0,77,1,9,0,21,1,10,0,6
IU Base Utilities Module,iu,ParallelTaskController,0,329,0,40,0,81,0,38,0,18
