GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Authenticated Session Handler,iu.auth.session,SessionToken,0,17,0,0,0,6,0,1,0,1
IU Authenticated Session Handler,iu.auth.session,Session,0,246,0,12,0,49,0,18,0,12
IU Authenticated Session Handler,iu.auth.session,SessionHandler,0,253,0,22,0,60,0,19,0,8
IU Authenticated Session Handler,iu.auth.session,SessionJwt,0,23,0,0,0,5,0,3,0,3
IU Authenticated Session Handler,iu.auth.session,SessionJwtBuilder,0,20,0,0,0,7,0,4,0,4
IU Authenticated Session Handler,iu.auth.session,SessionDetail,0,164,0,24,0,34,0,15,0,3
IU Authenticated Session Handler,iu.auth.session,SessionHandler.PurgeTask,0,23,0,4,0,8,0,4,0,2
IU Authenticated Session Handler,iu.auth.session,SessionAdapterFactory,0,34,0,6,0,9,0,5,0,2
