GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Authentication and Authorization Utilities,iu.auth.bundle,OAuthSpiDelegate,0,17,0,0,0,5,0,4,0,4
IU Authentication and Authorization Utilities,iu.auth.bundle,Bootstrap.new InvocationHandler() {...},0,52,0,6,0,11,0,6,0,3
IU Authentication and Authorization Utilities,iu.auth.bundle,BasicAuthSpiDelegate,0,13,0,0,0,4,0,3,0,3
IU Authentication and Authorization Utilities,iu.auth.bundle,Bootstrap.new Object() {...},0,16,0,0,0,4,0,1,0,1
IU Authentication and Authorization Utilities,iu.auth.bundle,Bootstrap,0,181,0,12,0,43,0,16,0,10
IU Authentication and Authorization Utilities,iu.auth.bundle,OidcSpiDelegate,0,13,0,0,0,4,0,3,0,3
