GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Public Key Infrastructure Authorization Utilities,iu.auth.pki,PkiPrincipal,0,416,0,42,0,88,0,32,0,11
IU Public Key Infrastructure Authorization Utilities,iu.auth.pki,CaVerifier,0,297,0,18,0,61,0,24,0,15
IU Public Key Infrastructure Authorization Utilities,iu.auth.pki,KeyUsage,0,172,0,41,0,45,0,28,0,6
IU Public Key Infrastructure Authorization Utilities,iu.auth.pki,PkiVerifier,0,371,0,34,0,82,0,33,0,16
