GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Type Introspection Module Loader,edu.iu.type.loader,IuComponentLoader,0,414,3,19,0,76,3,23,0,15
IU Type Introspection Module Loader,edu.iu.type.loader,IuComponentLoader.new Object() {...},0,6,0,0,0,1,0,1,0,1
IU Type Introspection Module Loader,edu.iu.type.loader,IuComponentLoader.new IuComponentController() {...},0,30,0,0,0,8,0,5,0,5
