GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Public Key Infrastructure Authorization Utilities,iu.auth.pki,PkiPrincipal,0,408,0,42,0,86,0,31,0,10
IU Public Key Infrastructure Authorization Utilities,iu.auth.pki,CaVerifier,0,293,0,18,0,60,0,23,0,14
IU Public Key Infrastructure Authorization Utilities,iu.auth.pki,KeyUsage,0,172,0,41,0,45,0,28,0,6
IU Public Key Infrastructure Authorization Utilities,iu.auth.pki,PkiVerifier,0,361,0,34,0,79,0,32,0,15
