GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU OpenID Connect Client,iu.auth.oidc,OidcAuthorizationClient.Id,0,40,0,2,0,11,0,6,0,5
IU OpenID Connect Client,iu.auth.oidc,OidcClaim,0,80,1,7,0,15,1,10,0,7
IU OpenID Connect Client,iu.auth.oidc,OpenIdProvider,0,79,0,0,0,13,0,6,0,6
IU OpenID Connect Client,iu.auth.oidc,OpenIdConnectSpi,0,9,0,0,0,3,0,2,0,2
IU OpenID Connect Client,iu.auth.oidc,OidcAuthorizationClient,0,789,0,50,0,159,0,52,0,27
