GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Authentication and Authorization API,edu.iu.auth,IuAuthenticationException,0,19,0,0,0,8,0,5,0,5
IU Authentication and Authorization API,edu.iu.auth,IuOneTimeNumber,0,6,0,0,0,1,0,1,0,1
IU Authentication and Authorization API,edu.iu.auth,IuPrincipalIdentity,0,19,0,4,0,2,0,4,0,2
IU Authentication and Authorization API,edu.iu.auth,IuOneTimeNumberConfig,0,7,0,0,0,4,0,4,0,4
IU Authentication and Authorization API,edu.iu.auth.spi,IuAuthConfigSpi,0,4,0,0,0,1,0,1,0,1
IU Authentication and Authorization API,iu.auth,IuAuthSpiFactory,0,54,0,4,0,12,0,4,0,2
